protein_A,protein_B,interacts
P63165,Q96EA4,No
Q6PI98,Q9Y4A5,Yes
P30153,Q02750,Yes
Q96EP1,P50570,No
P60880,Q12988,No
P40925,P29074,No
P59665,O75569,No
P41250,Q12988,No
O43252,O00757,No
Q96GD4,P60484,No
P68036,Q8TBC4,No
P27448,Q13123,No
Q96RR1,P62308,No
P21549,O15527,No
Q9UM54,Q9H1I8,No
Q96RL1,P0CG48,Yes
P55789,Q99700,No
Q00403,Q12962,Yes
P59665,P07108,No
P09651,O43809,Yes
Q8WWQ0,Q8N5F7,No
P35579,P11142,Yes
P46379,P29350,No
P04156,Q71DI3,Yes
Q13432,Q92963,No
O00499,Q96PU5,Yes
P07737,O95166,Yes
P26641,O15169,No
Q96E40,Q9UNZ2,No
P35579,O95361,No
Q9NX46,Q9UQB8,No
Q14181,Q13867,No
Q99417,P63167,Yes
P02008,O75807,Yes
P30281,Q15907,No
O14802,O75807,Yes
Q6IBS0,Q13813,Yes
P01111,P62979,No
P29692,O75251,No
O76061,O43570,No
Q9BQF6,P63165,Yes
Q00013,O15235,No
P07858,Q15811,No
P16220,Q9Y2W2,No
P37268,Q8TBC4,No
P36957,Q13523,No
P61769,P30533,No
Q9P2J2,Q9Y295,No
O14907,Q9BV38,No
P14923,Q14807,No
P21579,Q8TF65,No
Q9H3S7,P07108,No
P02766,P00918,No
P09936,P52209,No
P13747,P26447,No
Q9NVJ2,O14526,No
P16220,P52209,No
Q9H840,P17028,No
P27448,Q9NQC3,No
P01111,P00505,No
P61769,P29762,No
P07437,P60520,Yes
Q9UQ90,Q96FE5,No
P14866,Q15758,No
P32456,P78314,No
Q9GZT6,O43240,No
O95704,P02774,No
Q9UIF7,Q9P212,No
P41250,P51159,No
Q13330,O95831,No
O95273,P51784,No
P00918,O75381,No
Q9NXU5,Q8WWQ0,No
Q9Y6N7,O60315,No
P43034,P68402,No
Q96G74,Q149N8,No
P35579,P62308,No
Q8NE71,O15235,Yes
Q8NEV4,O15496,No
Q96GD3,Q15022,Yes
Q7L5D6,Q15119,No
Q15434,Q92963,No
Q9NXU5,P11172,No
P07237,P34896,Yes
Q03164,P05556,Yes
Q9UIF7,Q12988,No
Q03468,P12004,Yes
Q8WWQ0,O60828,No
P49736,P09326,No
P12830,P62979,Yes
Q9Y4P8,P04792,No
O00422,O60885,Yes
Q8NI35,P33552,No
O15169,Q99417,No
O15235,Q12824,Yes
Q9BUL5,Q92956,No
P00533,O14733,Yes
Q13123,Q13838,Yes
P02008,Q9Y483,No
O75398,P53602,No
P00797,P35609,No
Q03013,Q7LDG7,No
Q9UKM9,P24394,No
P02008,Q8N2Y8,No
P35251,Q8WXF1,Yes
P02787,P05109,No
Q8TDM6,P27448,Yes
O60256,P17028,No
O14732,O43240,No
P19367,P68032,No
O75674,Q9H5I1,No
Q9NPI1,Q9NUT2,No
Q6P1J9,P22234,Yes
P22670,P04181,No
Q9C0C9,O94761,Yes
P02794,Q9Y343,No
Q13332,P25189,No
P14635,Q13257,Yes
Q08495,Q92598,No
Q9NWY4,Q96HL8,No
Q8NEV4,Q13813,Yes
Q9NVJ2,O14777,No
P07814,Q12988,No
P08758,P14091,No
O00329,P55316,No
P42773,Q53FA7,No
P22061,Q9Y2M5,Yes
Q06323,Q13332,No
Q8NEV4,P54274,No
P23246,P60520,Yes
Q08945,P35609,No
P39748,Q9H4M7,No
O95630,Q9Y483,No
Q96CD2,Q13232,No
P35080,P00742,No
P04632,Q14790,No
P20700,Q14692,Yes
O60260,Q06830,No
Q9NQC3,P55774,No
Q9Y233,P05305,No
Q8TCJ2,P14314,Yes
Q96P48,Q9Y6Y0,No
Q15434,Q09013,No
Q13123,O76071,No
O95994,P16403,Yes
Q6P1J9,P46531,Yes
Q13459,Q96KB5,No
Q6IAA8,Q96B36,No
P32456,O43292,No
P09936,P62070,No
P20700,Q8NI27,Yes
P01023,Q8IYB7,No
P34896,Q8N5F7,No
O43924,P52209,No
P03950,P01909,No
P27694,Q13200,No
Q9NRC8,P07108,No
P30281,Q99496,No
Q9P298,O95361,No
Q9H3S7,P68400,No
P08243,O94761,Yes
O76003,Q8IWE5,No
Q99584,P07108,No
Q9HCU9,Q9HD15,No
Q13838,Q6P2Q9,Yes
Q99250,O00305,Yes
Q7L5D6,O75525,No
P63000,O95994,No
P16220,Q9UNI6,No
Q96EP1,Q9H0E2,No
P17174,Q9NX58,No
P63000,Q9H0H5,Yes
P35080,Q9H4M7,No
Q96PU5,P61769,No
Q96B02,P62820,No
Q13813,O00757,No
P53602,Q8NE71,No
Q00613,P06858,No
O00422,Q06323,No
Q9Y4P1,O95166,Yes
P35914,Q15397,No
P36957,P35269,No
Q9UKV3,P60484,No
P08243,P22234,Yes
P26641,O15381,No
O60256,Q16881,Yes
Q96P48,P12956,Yes
Q12840,P51513,No
Q92597,Q9HC16,No
O95639,Q9BPX5,No
O43674,O95831,Yes
Q13838,O95571,No
Q13426,Q86YL7,No
P02775,Q14807,No
P15822,Q00536,No
P02775,P55316,No
Q14524,P04181,No
P12004,P26358,Yes
P68871,O76071,No
P02647,P50591,No
P61289,P17540,No
P47897,Q9NX09,No
O76071,Q14061,No
Q86VK4,O43390,No
O00291,P19367,No
O75689,Q15843,No
Q15645,P78364,No
P68104,Q8WXF1,No
P29074,Q8TF65,No
Q53H47,Q9GZN7,No
P39687,Q16760,No
P11309,P60484,No
P02766,P40925,No
P60709,P00533,Yes
Q08945,O60885,Yes
O43312,Q15046,No
Q15434,Q9NYQ6,No
P63208,Q9NUT2,No
Q14690,P22314,No
Q08345,P49675,No
P61026,P62820,Yes
P38936,O60234,No
Q15434,Q9Y295,No
Q9Y4G2,Q15758,No
P78364,Q9NX09,No
P11142,O95372,No
Q9NWV4,Q8IYB7,No
Q969G6,Q96GD4,No
Q9H0B6,Q9HA47,No
P16403,P04637,Yes
Q9BV38,Q9UQ80,Yes
Q04724,P30084,No
Q6IAA8,P14923,No
P62136,O14777,Yes
P34896,P06746,No
Q13459,Q15907,No
P36888,P04439,Yes
Q9UNN8,P00742,Yes
O14775,Q93077,No
P14866,P35637,No
P02794,P04792,Yes
Q99962,Q9NS87,No
P25445,P07305,Yes
Q92481,Q96EP1,No
Q07869,O14531,No
P22234,Q9GZU1,No
Q13011,P53041,No
Q13257,P04183,Yes
P08559,P50336,No
P20700,P11142,Yes
Q08379,Q9BX70,No
P05388,Q15907,No
P20042,O15235,Yes
Q92540,P63104,No
Q8IWR0,Q9BPX5,No
Q86XP3,P23246,Yes
Q13526,Q04724,Yes
Q16539,Q6IBS0,No
Q06609,Q00597,Yes
P42773,O96007,No
O76061,Q9NZL4,No
O75400,O60543,No
P56470,Q96AP0,No
Q12852,Q9C026,No
Q71DI3,P26358,Yes
P61956,O00762,Yes
Q96B02,O00305,No
P08559,O95831,No
Q8NFP9,P29350,No
P08758,P78314,No
P07858,Q7L2H7,No
Q07869,Q9Y343,No
Q9UPT6,Q15397,No
Q99873,P05090,No
Q08379,O00757,No
Q13432,Q9NX18,No
Q13332,Q8N2I9,No
Q9NXU5,O95425,No
Q13432,P06396,No
Q96GD4,Q13309,Yes
Q9UM54,Q9NS87,Yes
P21549,Q13469,No
Q96KS0,Q9ULU8,No
Q13501,P35609,No
P22736,Q13547,Yes
P60709,P05556,Yes
P26358,P14635,Yes
Q9UNQ2,Q9H4M7,Yes
P06493,O00762,Yes
Q13636,O15235,No
P02008,P53779,No
O43312,P61006,No
P11142,P09466,No
Q9P287,P35914,No
P55209,Q92598,No
P60033,O95696,No
P07305,P55209,Yes
P24522,P32004,No
Q8NEV4,Q9NX09,No
P63000,O75962,Yes
O00422,O75899,No
P46379,Q9UNE7,Yes
P04792,P31943,Yes
Q13813,P32249,No
O76061,O15527,No
P61769,Q9UEU0,No
Q05516,P13727,No
Q9UHX1,O95571,No
P17858,P61956,Yes
O95704,P50616,No
Q99081,P47929,No
O95163,Q9P212,No
P02775,P16220,No
O15169,Q9Y2W2,No
P61956,Q15560,No
O75400,P62979,No
P02787,P49736,No
Q8WUM4,Q9ULC4,Yes
Q13523,P55774,No
Q96AP0,P35244,Yes
P51114,Q99759,No
Q9BXR0,O43292,No
P07858,Q03405,No
Q96GD3,O95696,No
Q8IX03,P62308,No
P61289,Q99417,No
Q13625,P63104,Yes
Q96CD2,P07305,No
O95704,P39748,No
Q9UPY8,P24534,No
P05388,P47756,Yes
P05387,Q9GZQ8,Yes
Q9GZT6,P25445,No
P84090,P50336,No
O60234,Q9Y6I3,No
Q9H3S7,P42330,No
Q96GM8,Q15910,No
Q15233,Q9Y2V2,No
P49321,P07900,No
P58340,O14777,Yes
P53350,P61006,No
P43034,P35637,No
Q99700,P05198,Yes
O43252,P35579,No
O60885,Q9NRC8,Yes
O14744,Q12809,No
Q9UQB8,P59998,Yes
Q96AP0,Q9BSI4,Yes
O60260,P55769,No
P14923,O43240,No
Q08345,Q13867,No
Q9UIF7,P62826,No
P60174,O14717,No
Q9H8U3,P09211,No
Q9NUB1,P08559,Yes
P13686,Q08945,No
O43765,Q92598,Yes
Q99700,P51114,Yes
P63208,O95696,Yes
P49903,Q9Y343,No
O75569,P68402,No
Q99616,O95376,No
P62979,Q96CS7,Yes
Q99873,Q16760,No
Q12772,O15211,No
Q12962,P62861,No
Q9UEU0,P32942,No
Q9NQC3,Q14155,No
P24666,Q9H4M7,Yes
P14618,O95376,No
O60884,Q92997,No
P53602,P60484,No
Q9BYC9,Q13867,No
O60234,P16152,No
Q13885,Q13547,No
O14907,Q14155,Yes
Q8TDM6,P83916,No
Q15059,O95251,Yes
Q15121,O60315,No
O14678,Q9UMS0,No
Q16539,Q9Y2V2,No
Q14240,P01215,No
O95926,Q9GZU8,Yes
P00533,P04183,No
Q13459,O43927,No
O14640,P60174,No
P62826,P68104,Yes
P08243,Q96AP0,No
Q8NFP9,Q9NX58,No
Q9Y2W2,P83916,No
P00797,Q9UH03,No
P35914,P01033,No
P00533,Q9UQ80,Yes
Q13501,Q9NX46,No
P02794,P83916,No
P57060,P34913,No
Q9GZQ8,Q9Y6Y0,No
Q9BSI4,Q9BXP5,Yes
Q8WV44,P12429,No
Q16658,P26447,No
P08631,P63208,No
O15381,Q92575,Yes
P09429,P04406,Yes
Q9Y3T9,Q9BYD6,Yes
Q13325,Q9BXR0,No
Q12962,Q53FA7,No
Q15560,Q7LDG7,No
Q53EZ4,P0CG48,Yes
Q14790,Q9BPU6,No
P18206,P30519,No
P51114,O14744,No
O14775,Q9BPU6,No
Q8NFP7,O15496,No
Q14974,P00533,Yes
P63000,Q9Y2J2,No
P60520,Q13765,No
Q99962,O15496,No
P24534,O95166,Yes
P19419,Q13227,No
Q99873,O15197,No
Q8TDM6,Q4VC44,No
Q9BYC9,O75381,No
P19256,O14732,No
P53621,O14775,No
Q9NP59,P60520,No
P63279,Q9Y3V2,Yes
O75964,P60709,Yes
Q8N8Q3,P62826,No
P49903,O43252,No
O14678,P29074,No
Q96RL1,P04637,Yes
Q15388,Q13263,Yes
Q13330,Q96BY9,No
O43252,Q14061,No
Q16881,O75534,No
P07900,Q7LDG7,No
Q99873,Q9NPH0,No
O95166,P14618,No
P56470,Q09472,No
Q14690,Q6IBS0,No
Q9NVX7,Q96FE5,No
P50542,O15211,No
P16220,Q13263,No
Q9NX46,P61077,No
O75525,P16220,No
Q9Y4P1,Q13541,No
Q13501,O14775,No
Q96PU5,Q96B67,Yes
Q00613,Q9BXJ8,No
Q9Y2S7,P63279,No
Q9UHY7,P52209,No
Q9Y237,P04899,No
Q9NWY4,P33552,No
Q96G74,P31994,No
P07942,P0CG48,Yes
Q9P2J2,Q09013,No
Q9P287,Q9Y6H5,No
P40925,Q86YV5,No
Q9Y4G2,Q9UNZ2,No
Q9UEU0,O15031,No
P24534,P51965,No
P54105,P28066,Yes
O43583,Q13148,No
P09936,Q96P48,No
Q14524,P08133,No
Q9H4M7,P27694,Yes
Q9P287,P07237,No
P02792,P11766,No
Q16881,Q8IYT8,No
Q96RR1,O00257,No
Q92597,P04183,No
Q9Y237,O14777,No
Q8N8Q3,P09211,No
Q7Z3C6,P05091,No
Q15843,P68104,Yes
P49736,P27694,Yes
P50914,P49771,Yes
P09960,Q9H1I8,No
Q92597,P20338,Yes
Q14690,P31943,No
Q8IX03,O15496,No
Q9Y483,Q71DI3,Yes
Q16543,P63208,Yes
P00966,P14555,No
Q13330,O14531,No
Q16621,Q92956,No
P10451,P04156,No
Q13885,P11274,No
Q96CS7,Q9BXP5,No
Q9UIF7,Q15583,No
P24522,Q9H169,No
Q92481,O43809,No
P35475,Q8TF65,No
Q08345,P23381,No
Q9NTG7,O43927,No
Q9C026,P06746,No
P24394,Q06609,No
Q99250,P32942,No
P53350,O60885,Yes
Q06323,O60885,Yes
P21246,Q08945,No
Q16658,Q8TBC4,No
O15169,Q13526,Yes
Q92597,Q15119,No
Q96GM8,P62136,Yes
Q92598,Q13625,Yes
Q13325,Q6P1J9,Yes
P16403,Q15022,Yes
P40925,Q86YL7,No
O60671,Q13232,No
P12931,Q12809,Yes
P24534,O95372,No
P62979,P22314,Yes
Q86VK4,Q8IXH7,No
P02766,P21695,No
P42858,P21127,No
P14091,P21695,No
P06858,Q9UKV3,No
Q7L5N1,Q9NYY3,No
P59998,Q149N8,No
O43570,Q8IX03,No
P02766,O60543,No
O60671,P60033,No
O94761,P32004,No
P68871,Q9NTG7,No
P29074,Q96EA4,No
O14717,O00305,No
Q14318,P50402,Yes
O00541,Q9Y3T9,Yes
P11142,P07305,No
Q86VK4,P49448,No
Q93077,Q9UER7,Yes
P11142,Q8NCC3,No
P48443,P24666,No
P09651,Q12809,No
Q96RR1,P24593,No
Q13885,Q9H4T2,No
P24534,P22736,No
P68871,P22736,No
Q9BYD6,Q14690,Yes
Q9UBT2,Q13232,No
Q15181,P35269,No
O94762,P50402,No
P04156,P68400,Yes
Q15262,Q08945,No
Q9GZQ8,O14777,No
Q9H492,P11172,No
Q6P1J9,Q9NTM9,No
P14866,Q13547,Yes
P49458,Q9BXP5,Yes
P31689,Q9NTX7,No
P56470,Q00013,No
P60709,Q9UQB8,Yes
Q9H0B6,P50591,No
P26641,P14618,No
Q9Y2W2,P04899,No
Q15059,Q03164,Yes
Q9HD67,Q13263,No
P06396,Q9UM54,Yes
O00291,Q9ULU8,No
P05388,O60870,Yes
Q14194,Q9UNZ2,No
Q9P289,Q02363,No
P27694,Q13469,No
Q9NVX7,P34896,No
P17174,P00505,Yes
P02787,Q9H840,No
Q99250,Q99759,No
Q13123,Q16760,No
Q96KS0,P23246,No
Q92993,Q9BPX5,No
Q92993,Q92963,No
P28066,Q15843,Yes
Q96EP1,Q8TBC4,No
Q8N6T3,Q9NYY3,No
P22234,P09429,No
P14923,P08758,No
Q9NRS6,Q96GD4,No
Q9HD67,P00491,No
P14902,P52756,No
P62937,Q9BWV1,No
P61956,Q9NQW7,No
Q9H840,Q13867,No
P62308,Q9H840,Yes
P43250,Q9UQ90,No
Q96B02,O15235,No
P23528,P05109,No
Q99873,O60885,No
Q13547,P35219,No
Q16621,Q9NUT2,No
Q9C026,Q9HC16,No
P21964,P30084,No
P19419,Q9UNZ2,No
Q9BYC9,Q9Y6I3,No
P02771,Q9H1D9,No
O75569,Q8NCC3,No
P19256,P46531,No
Q9UHX1,P18848,No
P84090,O95445,No
Q13227,P41567,No
Q13885,Q8N2Y8,No
Q8TEY7,Q13438,Yes
P03950,Q12852,No
Q15910,Q86U86,Yes
O75674,O95571,No
Q96BY9,Q9P2R6,No
Q16827,Q9UMS0,No
Q12824,P01270,No
P09936,P23528,Yes
Q05516,Q15181,No
Q8NE71,P46100,No
P68036,P21673,No
O95568,P25189,No
P12429,P60903,Yes
Q86VK4,P48643,No
P13497,Q9H0E2,No
Q15645,P02794,No
P04632,O95994,No
Q7L5D6,Q9BPX5,No
Q9P289,Q8IXH7,No
P13497,Q15910,No
O94953,P61088,Yes
Q9UBQ0,Q15119,No
Q13885,Q8NBJ7,No
Q96GM8,Q99417,No
Q13813,P61289,No
P59998,P05305,No
P14902,Q16760,No
Q6PI98,Q6IBS0,No
P57060,Q9NX18,No
P27448,Q9UPT6,No
Q13523,P53041,No
P04406,P42330,No
P02647,P26885,No
P12931,P22736,Yes
Q14203,O14777,Yes
P68104,P84090,No
O43570,P12429,No
Q08495,P24666,No
Q9NQC3,Q9NWZ3,No
P24534,P24394,No
Q13547,O60315,Yes
P11142,P11309,No
Q9H095,P04637,Yes
P05388,Q8WUM4,No
P24522,P51159,No
O14678,Q96RL1,No
P54105,Q53H47,No
Q12824,Q96Q04,No
O60493,P06746,No
Q14558,P30044,No
P29692,Q8WYH8,No
P09960,P30519,No
P04406,P53041,No
Q9GZT6,Q9NTM9,No
P06576,Q99759,No
O00273,P51513,No
Q92692,P11172,No
P29692,Q14203,No
P53621,Q9UBS3,No
Q9P298,Q14318,No
Q08945,Q12824,Yes
Q9UPY8,P61289,No
Q9H4M7,O14976,Yes
Q9HCU9,P56192,No
Q00613,P30533,No
O00445,P17858,No
P53621,Q13263,Yes
Q9NQW7,Q16643,No
P49736,Q9Y294,Yes
Q13330,P00505,No
P09936,Q9H4M7,Yes
Q9NTM9,Q9Y5U2,No
Q12809,P07900,Yes
Q06323,Q96JB3,No
O95704,P02792,No
P60763,O14640,Yes
O43252,Q9GZU1,No
P39748,O94762,Yes
O14744,P54274,Yes
P11142,Q9HCU9,Yes
O15381,Q92540,Yes
P14635,Q14974,Yes
Q9NWV4,Q13469,No
Q9UQ80,P54274,Yes
O75251,Q9GZQ8,No
Q9NYY3,Q96EA4,No
P60174,O96013,No
Q96CS7,Q15560,No
Q6PI98,P50402,No
O00151,P00491,No
Q9C026,P00918,No
Q9HCU9,P23528,No
P47756,P06865,Yes
Q08945,Q03188,Yes
P63167,P63208,No
Q13426,Q99719,No
O75398,Q9UH03,No
O75936,O75874,No
P09651,P60520,No
P04632,Q8IX03,No
P11021,Q96EA4,No
P24394,P12931,No
Q9GZT6,P30519,No
Q13325,P61289,No
P11142,Q9BXR0,No
Q03013,Q93077,No
Q13438,P0CG48,Yes
O14732,P62820,No
P84090,Q9NX09,No
Q99963,O60502,No
P29692,Q01082,No
Q15645,P08758,No
P30533,Q8WXF1,Yes
P08670,P42330,No
P68032,P00742,No
P13686,P18669,No
P43034,Q13085,No
O94953,Q9Y483,No
P01033,P05305,Yes
P78364,P83916,Yes
Q07666,P14866,Yes
Q13330,P60903,No
O95251,P11166,No
P09936,P30519,No
Q6IAA8,P62995,No
P18848,Q03405,No
P61956,Q93091,No
O95994,Q13813,Yes
Q13123,Q969H8,No
P16403,O75381,No
Q00013,P55316,No
P59998,O14832,No
P62979,Q99962,Yes
Q9P2J2,Q9UNE7,No
Q13432,P00505,No
P09104,Q13330,No
P46379,P09326,No
Q96IZ0,O60671,No
Q92598,Q9GZQ8,Yes
P40925,P78560,No
Q9UPT6,P16152,No
P49419,Q9BX70,No
P30153,Q9NPH0,No
P61289,P30533,No
P18669,Q96GM8,No
Q08345,Q13085,No
P05787,O15211,No
P59998,O96013,No
Q14790,P24941,Yes
Q96GM8,O60671,No
Q01101,P02792,No
P62937,P09466,No
P06400,O00762,Yes
Q9H492,Q00597,Yes
P51693,Q99567,No
P57060,P21695,No
Q9UQF2,P01270,No
P63167,P14618,No
P62979,Q99759,Yes
P60520,P48643,No
Q9GZQ8,P78314,No
P62826,O60885,Yes
P21246,Q9NP59,No
Q08945,P07108,No
Q9UEU0,Q99567,No
Q9UKY1,P62070,No
Q9H0B6,Q9NPJ4,No
P05091,P12429,No
P48443,Q13227,No
P17174,P09429,No
O43504,P31994,No
O60493,Q15005,No
P27694,Q9UKK9,No
Q12809,P12931,No
P61956,O95696,No
P07814,P22061,No
P04637,P05109,Yes
P63208,P30153,Yes
Q7L5N1,O15235,No
Q9BQ04,Q8NFZ0,No
O15530,P26885,No
P60880,Q8NCD3,No
Q00613,Q13227,No
P04637,Q13158,Yes
P84090,O75525,No
Q16539,Q9GZN7,No
Q00613,Q14683,Yes
Q9HCU9,Q9NY59,No
Q9NYY3,Q96AP0,No
O43570,P02794,No
Q08495,P50591,No
Q86VP1,P02768,No
Q05516,Q9BX70,No
Q92597,P11766,No
O60315,O00257,Yes
P07900,Q8WUM4,No
Q9H773,P63208,No
P51671,P47756,No
Q8WWQ0,P56945,No
Q9Y265,Q92993,Yes
Q8NI35,Q149N8,No
P48443,P27707,Yes
O00762,O00757,No
O76071,O00757,No
P49736,P06396,No
P07108,O00499,Yes
P21246,Q9BXJ8,No
Q9BXR0,Q96B36,No
P27707,Q13232,No
Q9NQC3,P11766,No
Q8IWR0,P50570,No
Q9Y4P8,P09936,No
O00445,Q00536,No
Q969X6,P20700,Yes
P21246,Q8NFZ0,No
Q15233,Q13309,Yes
Q99963,Q9NX09,No
P08243,P50591,No
Q9NTK5,P62979,No
O75828,P22234,No
Q15233,P61956,Yes
Q9C0C9,Q8NCD3,Yes
Q96RR1,Q09472,No
Q99873,P23921,Yes
Q96E40,O95760,No
Q05516,Q8N6T7,No
Q9H8U3,Q9GZU1,No
Q08345,Q9BZI7,No
P62995,P84077,No
O15197,O00305,No
Q86VP1,Q9BPX5,No
Q15645,Q9NTK5,No
P23528,P19838,Yes
O60671,O43765,No
Q96BY9,O60333,No
O75348,O00560,No
P32456,Q15119,No
O95639,O75874,No
O14976,Q8N8Q3,No
Q8TEY7,O95989,No
Q9GZT6,Q99567,No
P68400,Q13526,Yes
Q9NUT2,P32942,No
P63104,Q12840,Yes
O60885,P54725,Yes
Q93091,O15381,No
Q08945,Q9BYW2,Yes
P08670,Q14919,No
P49736,Q13085,No
Q6IAA8,P47756,No
Q9UM73,O14976,Yes
Q6PI98,Q96GD3,No
O76061,P63279,No
Q8NI27,Q14974,Yes
P07237,P14314,Yes
O94761,Q2NL82,Yes
Q00610,O60828,No
O95166,P56962,Yes
Q08495,P53041,No
Q12840,P04183,No
O95376,Q13951,Yes
Q92540,Q9UKM9,No
Q6IAA8,O14976,No
P61006,P55769,No
P15822,Q8TF65,No
O43504,P22392,No
P11142,O15211,No
Q99962,P30084,No
Q8TDM6,Q8WXF1,No
P06493,Q16543,Yes
P09651,Q13469,Yes
Q9H0H5,P30519,No
Q9Y233,P40306,No
Q13813,P62979,No
P46100,Q13330,Yes
P27448,P49903,No
P32456,Q9UH03,No
P14174,P55209,No
P43034,P61077,No
P11441,P12931,Yes
P03950,Q16643,No
Q8WXF1,Q13523,Yes
Q86VP1,P05154,No
O14640,O60671,No
O75348,Q9UQB8,No
Q9Y237,Q13547,Yes
O43674,P09429,Yes
O00762,P29350,No
O14744,Q9UNZ2,Yes
P29692,Q96EA4,Yes
Q12852,Q99616,No
O60260,P02768,Yes
P22234,Q9HA47,No
O95639,O95361,No
Q9Y296,O60701,Yes
Q99873,O14907,No
P61011,O60885,Yes
P56470,Q96KB5,No
P04637,Q92481,Yes
P06576,Q14807,No
P06576,P29074,No
P61956,P25189,No
Q99963,P29350,No
Q14240,P06396,No
P04632,Q96AP0,No
O95163,O15211,No
Q9NVX7,P60520,No
P18669,Q96FE5,No
Q9NRC8,P40306,No
P62979,O43583,Yes
Q00613,P14091,No
P12956,O60543,No
O14775,P14174,No
Q02750,P61224,Yes
P36957,O43240,No
Q86XP3,Q8NBJ7,No
Q99584,Q13263,No
Q8TBC3,Q9BXJ8,No
P84090,P48443,No
O00422,Q9UMR2,No
Q99584,Q9UK61,No
Q969X0,P30519,No
Q92993,P00505,No
P61006,O43240,No
P14866,P17936,No
P19256,Q6PD74,No
Q13526,Q9HCU9,No
P62995,P63104,No
O43924,P21673,No
P21964,P11172,No
P18669,P49675,No
Q9Y296,Q8WUM4,No
P05413,O15496,No
P53602,O60502,No
Q99081,P31943,No
Q9UPT6,Q96HS1,No
P43235,Q92956,No
O43924,Q14240,No
O95831,P61221,Yes
O60256,Q13113,No
P14618,Q00536,Yes
P23921,P32456,Yes
Q15262,Q9BPX5,No
P06865,Q8N8Q3,No
P29692,P47897,No
Q13332,Q9NP72,No
Q13459,Q9UMR2,No
O94762,Q16539,No
O43924,P35579,No
Q14194,P15882,No
P37268,Q9NP72,No
P08559,P23246,No
Q93091,Q12988,No
Q9Y2U9,Q92956,No
Q9NTG7,O43639,No
Q9UNN5,P56192,No
P62979,P51965,Yes
Q8TEY7,Q9NUT2,No
Q14181,P32456,No
Q9P1W9,P06396,No
Q92481,P47224,No
O43639,Q9Y6N7,Yes
P63165,P05305,No
Q16621,O95696,No
P27986,P61769,Yes
Q9Y4W6,O95571,No
P62979,P27448,Yes
P09326,Q9NPA8,No
P17480,O60885,Yes
P00966,Q8WXF1,No
Q96JB3,Q13148,No
Q03393,Q9Y2M5,No
P43235,P11166,No
Q14204,P07900,Yes
P40227,Q9Y3A3,Yes
P19419,P46100,No
P29692,P55316,Yes
Q92990,Q8IYT8,No
P35637,Q53GS9,Yes
Q9Y6H5,O60260,Yes
P34896,Q92995,No
P09651,Q9BVJ7,No
P22736,P43250,Yes
P18669,Q8WXF1,No
Q6IAA8,P50542,No
Q7L2H7,P14555,No
P04406,Q9UH03,No
Q9Y2S7,Q15397,No
P21964,P58340,No
P51784,P40227,Yes
Q9BVJ7,Q9NWS0,Yes
P11597,P29350,No
P31943,Q9H4M7,Yes
Q15233,Q9NWS0,Yes
P04406,P11172,No
Q15181,P31943,No
Q12824,P35637,No
O14744,Q9BX70,No
Q9H4M7,P49736,Yes
Q08495,Q9UKK9,No
O00151,O00560,No
Q9UQF2,Q9NQC3,No
O00499,P09467,Yes
Q13011,O14526,No
Q13885,P22607,No
Q86XP3,Q9H7H0,Yes
Q08945,P11166,No
Q9Y233,Q9HCU9,No
Q9UER7,Q96AP0,Yes
Q9C026,Q8N159,No
Q15645,Q13257,Yes
P49419,P11172,No
P54725,Q12824,Yes
O43583,Q13951,No
P57060,P47224,No
P39748,P02792,No
P46379,Q9Y294,No
Q13200,O94761,Yes
Q13332,Q06830,No
P61026,Q9UNI6,No
O14733,P15882,No
Q7L5N1,Q9HCU9,No
P47224,P43307,No
Q07666,Q13469,No
Q99962,P49888,No
P49736,Q8WY91,No
Q9NRC8,P58340,No
Q13107,P29074,No
Q96EP1,O95376,No
O60671,O95630,No
P55789,Q9NS87,No
P35637,Q12906,Yes
P51114,O43927,No
O94953,P32249,No
O14717,Q96KB5,No
Q13011,P06865,Yes
Q15434,Q9BX70,No
P02775,P19367,No
Q16643,P04792,No
O43504,Q8NI35,No
O95639,P45984,Yes
Q9Y4A5,O60885,Yes
Q9H492,Q99496,No
Q99616,Q9GZU1,No
Q9NRS6,Q9HC16,No
P22392,P32004,No
P02792,P12931,No
Q9H7H0,O15496,Yes
Q9H0B6,P45984,No
L0R8F8,Q9BYC9,Yes
O60885,P84090,Yes
Q13011,P06396,No
O14678,P40306,No
Q9H0H5,O15496,No
P26641,Q9GZT6,No
O14976,P21673,No
P60520,P20700,Yes
Q15047,P29350,No
Q7L2H7,Q08945,No
Q9H8U3,O96013,No
Q9Y265,Q71U36,Yes
P62979,P05198,Yes
P63165,P49771,No
Q9BYC9,Q14690,Yes
O00541,Q9Y295,Yes
Q7L5D6,Q92879,No
Q9BRS2,Q8N9N8,Yes
P61289,Q93091,No
Q9Y233,Q8N6T7,No
Q96GD4,P09429,No
Q9H3S7,Q5SZQ8,No
Q9UBT2,P02794,No
Q09472,P06400,Yes
O75400,O95760,No
Q13501,P63146,No
Q16658,O43390,No
O76061,Q9Y6Y0,No
P42773,P63167,No
Q9BYD6,P62861,Yes
O95273,P20338,No
Q15560,P78417,No
Q9BZI7,O15496,No
O00291,P05026,No
O00329,Q9UNE7,No
Q07866,P50402,No
Q96KS0,Q15583,No
P04181,Q9H4M7,Yes
O15530,P52756,No
P68036,Q9H095,No
Q12906,P11021,Yes
P46379,Q8WV44,No
